student_id,name,skills
1,Student1,laravel ruby
2,Student2,play store reinforcement learning
3,Student3,bash scripting electronics
4,Student4,load balancing django
5,Student5,fastapi api
6,Student6,data linux
7,Student7,jira firewall
8,Student8,autoscaling graphql
9,Student9,data lakehouse babel
10,Student10,web performance sql
11,Student11,data warehousing data
12,Student12,research load balancing
13,Student13,mocha c#
14,Student14,critical thinking pandas
15,Student15,data wrangling model evaluation
16,Student16,git software engineering
17,Student17,mobile security industrial automation
18,Student18,cron jobs load balancing
19,Student19,nlp trello
20,Student20,firebase hyperparameter tuning
21,Student21,matlab tdd
22,Student22,arduino new relic
23,Student23,devops network security
24,Student24,api integration automation
25,Student25,gitkraken transfer learning
26,Student26,data pipelines figma
27,Student27,in-app payments deep learning
28,Student28,jest typescript
29,Student29,css accessibility
30,Student30,data analysis agile
31,Student31,typescript react
32,Student32,cryptography bootstrap
33,Student33,helm lambda
34,Student34,data warehousing mobile ui
35,Student35,unit testing arduino
36,Student36,react ips
37,Student37,ssl windows server
38,Student38,data lakehouse problem solving
39,Student39,notion robotics
40,Student40,cloudfront verilog
41,Student41,trello pandas
42,Student42,deep learning debugging
43,Student43,jenkins devops
44,Student44,data governance storage management
45,Student45,dotnet firebase
46,Student46,nextjs tdd
47,Student47,figma recommendation systems
48,Student48,virtualization bash scripting
49,Student49,react powershell
50,Student50,regression cloud storage
51,Student51,data express
52,Student52,html android studio
53,Student53,performance optimization model deployment
54,Student54,solidworks design
55,Student55,cloud microservices
56,Student56,ai scada
57,Student57,javascript miro
58,Student58,ips scrum
59,Student59,cross-browser testing powershell
60,Student60,lua supervised learning
61,Student61,critical thinking xcode
62,Student62,data network security
63,Student63,test automation statistics
64,Student64,react native nextjs
65,Student65,classification cron jobs
66,Student66,babel data
67,Student67,apache spark system design
68,Student68,seaborn data lakes
69,Student69,cryptography llm
70,Student70,logging forensics
71,Student71,time series analysis vscode
72,Student72,project management signal processing
73,Student73,siem php
74,Student74,design centos
75,Student75,azure data visualization
76,Student76,cloud app store
77,Student77,proxmox seaborn
78,Student78,big data agile
79,Student79,perl predictive modeling
80,Student80,data preprocessing go
81,Student81,cron jobs bitbucket
82,Student82,git tcp/ip
83,Student83,fastapi cryptography
84,Student84,bash scripting flask
85,Student85,intellij transfer learning
86,Student86,ids airflow
87,Student87,mlops php
88,Student88,etl gcp
89,Student89,solidworks virtualbox
90,Student90,svelte solidworks
91,Student91,system monitoring nosql
92,Student92,rust proxmox
93,Student93,design patterns presentation
94,Student94,mechanical design data wrangling
95,Student95,design patterns seaborn
96,Student96,ubuntu play store
97,Student97,cloudfront bitbucket
98,Student98,react s3
99,Student99,linux ci/cd
100,Student100,ai security
101,Student101,postman redux
102,Student102,nlp cryptography
103,Student103,react windows server
104,Student104,data rust
105,Student105,webpack django
106,Student106,monitoring supervised learning
107,Student107,cloudfront data governance
108,Student108,storage management research
109,Student109,hadoop keras
110,Student110,mobile testing matlab
111,Student111,cloudfront laravel
112,Student112,security documentation
113,Student113,angular trello
114,Student114,ec2 notion
115,Student115,ai ethics dotnet
116,Student116,dhcp nestjs
117,Student117,git in-app payments
118,Student118,raspberry pi routing
119,Student119,c react native
120,Student120,terraform firewall
121,Student121,react native switching
122,Student122,fastapi flutter
123,Student123,metasploit power bi
124,Student124,data warehousing neural networks
125,Student125,github app store
126,Student126,load balancing nosql
127,Student127,nlp nestjs
128,Student128,trello flutter
129,Student129,nlp data governance
130,Student130,notion aws
131,Student131,kotlin reinforcement learning
132,Student132,load balancing postman
133,Student133,redux notion
134,Student134,mobile testing design
135,Student135,ddos protection image processing
136,Student136,openai api nmap
137,Student137,c# wireshark
138,Student138,transfer learning postman
139,Student139,bitbucket supervised learning
140,Student140,webpack robotics
141,Student141,design babel
142,Student142,ssl scrum
143,Student143,release management nlp
144,Student144,kafka devops
145,Student145,time series analysis mobile security
146,Student146,team collaboration wireshark
147,Student147,aws typescript
148,Student148,scada classification
149,Student149,tcp/ip tailwind
150,Student150,cypress dhcp
151,Student151,powershell team collaboration
152,Student152,vue agile
153,Student153,anomaly detection statistics
154,Student154,ansible jenkins
155,Student155,vulnerability scanning jest
156,Student156,robotics problem solving
157,Student157,transfer learning nmap
158,Student158,pair programming babel
159,Student159,scikit-learn autocad
160,Student160,software architecture laravel
161,Student161,api haskell
162,Student162,dns routing
163,Student163,windows server code review
164,Student164,ansible cloud
165,Student165,airflow ec2
166,Student166,dimensionality reduction monday
167,Student167,angular load balancing
168,Student168,ubuntu pycharm
169,Student169,fastapi websocket
170,Student170,mobile ui virtualbox
171,Student171,docker desktop ai ethics
172,Student172,macos lambda
173,Student173,lambda network security
174,Student174,scala cloudfront
175,Student175,tailwind design
176,Student176,java (android) functional programming
177,Student177,route53 control systems
178,Student178,ssl design patterns
179,Student179,html github actions
180,Student180,gitlab ci control systems
181,Student181,release management zero trust
182,Student182,classification cross-browser testing
183,Student183,redux kubernetes
184,Student184,model evaluation macos
185,Student185,trello simulation
186,Student186,c machine learning
187,Student187,storage management file systems
188,Student188,tailwind html
189,Student189,descriptive analytics perl
190,Student190,ruby troubleshooting
191,Student191,feature engineering c
192,Student192,php file systems
193,Student193,grafana system monitoring
194,Student194,dhcp redux
195,Student195,r data visualization
196,Student196,swift nestjs
197,Student197,sass cypress
198,Student198,industrial automation data governance
199,Student199,bootstrap api integration
200,Student200,test automation jira
201,Student201,tailwind data mining
202,Student202,play store new relic
203,Student203,kafka vpc
204,Student204,datadog big data
205,Student205,bash scripting play store
206,Student206,simulation functional programming
207,Student207,version control tableau
208,Student208,microservices statistics
209,Student209,solidworks scrum
210,Student210,google cloud robotics
211,Student211,virtualbox nestjs
212,Student212,shell scripting reinforcement learning
213,Student213,network architecture data wrangling
214,Student214,generative ai scikit-learn
215,Student215,haskell load balancing
216,Student216,tensorflow vite
217,Student217,typescript api integration
218,Student218,express vpn
219,Student219,cybersecurity ux
220,Student220,llm gitops
221,Student221,raspberry pi nmap
222,Student222,ids push notifications
223,Student223,nodejs pandas
224,Student224,mocha microservices
225,Student225,html functional programming
226,Student226,research excel
227,Student227,regression security
228,Student228,frontend neural networks
229,Student229,s3 jira
230,Student230,firebase selenium
231,Student231,asp.net file systems
232,Student232,jenkins monitoring
233,Student233,airflow vmware
234,Student234,autoML gitlab ci
235,Student235,presentation ips
236,Student236,infrastructure as code flutter
237,Student237,ui test automation
238,Student238,tcp/ip bitbucket
239,Student239,proxmox new relic
240,Student240,kotlin vulnerability scanning
241,Student241,dotnet route53
242,Student242,api integration postman
243,Student243,recommendation systems go
244,Student244,react business intelligence
245,Student245,model optimization dimensionality reduction
246,Student246,tensorflow linux
247,Student247,php new relic
248,Student248,shell scripting vue
249,Student249,langchain scrum
250,Student250,bash scripting automation
251,Student251,software architecture system administration
252,Student252,system design ssl
253,Student253,snowflake dotnet
254,Student254,application security system monitoring
255,Student255,ui haskell
256,Student256,graphql ansible
257,Student257,autoscaling linux
258,Student258,supervised learning model evaluation
259,Student259,kotlin google cloud
260,Student260,integration testing model deployment
261,Student261,feature engineering new relic
262,Student262,fastapi metasploit
263,Student263,security miro
264,Student264,ethical hacking soc
265,Student265,proxmox swift
266,Student266,llm azure
267,Student267,excel aws
268,Student268,cypress sass
269,Student269,linux openai api
270,Student270,vhdl api integration
271,Student271,jenkins gitkraken
272,Student272,accessibility linux
273,Student273,express vhdl
274,Student274,laravel software architecture
275,Student275,network security grafana
276,Student276,innovation babel
277,Student277,bdd data preprocessing
278,Student278,laravel agile
279,Student279,recommendation systems scala
280,Student280,fastapi soc
281,Student281,data wrangling soc
282,Student282,full stack ddos protection
283,Student283,classification soc
284,Student284,model deployment apache spark
285,Student285,github selenium
286,Student286,intellij transfer learning
287,Student287,javascript jenkins
288,Student288,api integration frontend
289,Student289,android studio autoML
290,Student290,design patterns typescript
291,Student291,file systems autocad
292,Student292,grafana functional programming
293,Student293,siem api integration
294,Student294,vmware s3
295,Student295,process management trello
296,Student296,process management aws
297,Student297,xcode arduino
298,Student298,solidworks generative ai
299,Student299,android studio slack
300,Student300,troubleshooting monitoring
301,Student301,machine learning reinforcement learning
302,Student302,scada pycharm
303,Student303,application security image processing
304,Student304,google cloud vulnerability scanning
305,Student305,code review pandas
306,Student306,transfer learning functional programming
307,Student307,firewall dns
308,Student308,neural networks security
309,Student309,transfer learning image processing
310,Student310,react prometheus
311,Student311,huggingface mechanical design
312,Student312,predictive analytics ec2
313,Student313,dns rust
314,Student314,etl cypress
315,Student315,proxmox bash
316,Student316,firebase proxy servers
317,Student317,azure gitlab
318,Student318,supervised learning flutter
319,Student319,data lakehouse google cloud
320,Student320,numpy dns
321,Student321,c eclipse
322,Student322,agile php
323,Student323,flutter mechanical design
324,Student324,nosql numpy
325,Student325,network architecture nmap
326,Student326,scikit-learn performance optimization
327,Student327,dns cad modeling
328,Student328,cryptography s3
329,Student329,ips docker
330,Student330,new relic data lakehouse
331,Student331,nmap app store
332,Student332,push notifications simulation
333,Student333,nosql proxmox
334,Student334,datadog gitops
335,Student335,full stack serverless
336,Student336,typescript app store
337,Student337,data analysis chatbot
338,Student338,data lakehouse ssl
339,Student339,cloud storage helm
340,Student340,research data lakes
341,Student341,c figma
342,Student342,redux sql
343,Student343,machine learning routing
344,Student344,ec2 switching
345,Student345,perl microservices
346,Student346,load balancing functional programming
347,Student347,pair programming network security
348,Student348,route53 predictive analytics
349,Student349,embedded systems dart
350,Student350,wireshark bash scripting
351,Student351,api api integration
352,Student352,data visualization bitbucket
353,Student353,ci/cd sql
354,Student354,helm snowflake
355,Student355,penetration testing powershell
356,Student356,perl deep learning
357,Student357,clustering haskell
358,Student358,data warehousing proxy servers
359,Student359,bootstrap data lakes
360,Student360,langchain autocad
361,Student361,postman c#
362,Student362,jest model deployment
363,Student363,solidworks arduino
364,Student364,forensics vhdl
365,Student365,lua presentation
366,Student366,ids accessibility
367,Student367,code review android studio
368,Student368,windows server load balancing
369,Student369,scikit-learn etl
370,Student370,mobile ui network architecture
371,Student371,tailwind web security
372,Student372,virtualbox powershell
373,Student373,babel prometheus
374,Student374,openai api unit testing
375,Student375,data mining data modeling
376,Student376,solidworks proxy servers
377,Student377,data pipelines firewall
378,Student378,datadog docker desktop
379,Student379,routing arduino
380,Student380,xcode gitlab
381,Student381,statistics asp.net
382,Student382,vhdl vite
383,Student383,probability data wrangling
384,Student384,security integration testing
385,Student385,security virtualization
386,Student386,vue pycharm
387,Student387,system administration ubuntu
388,Student388,mobile ui mocha
389,Student389,mocha kubernetes
390,Student390,flask computer vision
391,Student391,bash xcode
392,Student392,incident response apache spark
393,Student393,accessibility data labeling
394,Student394,huggingface nextjs
395,Student395,cybersecurity scala
396,Student396,llm software engineering
397,Student397,django business intelligence
398,Student398,excel visual studio
399,Student399,html grafana
400,Student400,data analysis data preprocessing
401,Student401,system administration langchain
402,Student402,autocad ai ethics
403,Student403,transfer learning automation
404,Student404,vhdl bash scripting
405,Student405,industrial automation numpy
406,Student406,team collaboration responsive design
407,Student407,sql apache spark
408,Student408,load balancing vscode
409,Student409,postman monday
410,Student410,bash devops
411,Student411,nmap data visualization
412,Student412,redux robotics
413,Student413,svelte cypress
414,Student414,c++ big data
415,Student415,java (android) nestjs
416,Student416,python bitbucket
417,Student417,centos raspberry pi
418,Student418,transfer learning ids
419,Student419,devops cryptography
420,Student420,git data labeling
421,Student421,problem solving android studio
422,Student422,raspberry pi team collaboration
423,Student423,dart system administration
424,Student424,load balancing kotlin
425,Student425,linux intellij
426,Student426,image processing typescript
427,Student427,artifact registry macos
428,Student428,classification process management
429,Student429,software engineering hadoop
430,Student430,big data cross-browser testing
431,Student431,data lakehouse visual studio
432,Student432,powershell network security
433,Student433,scala php
434,Student434,monday ethical hacking
435,Student435,ui cron jobs
436,Student436,monday security
437,Student437,bash eclipse
438,Student438,elasticsearch redux
439,Student439,typescript verilog
440,Student440,gcp transfer learning
441,Student441,express scala
442,Student442,matlab metasploit
443,Student443,data mining big data
444,Student444,cryptography lua
445,Student445,probability svelte
446,Student446,model evaluation intellij
447,Student447,full stack business intelligence
448,Student448,mlops fastapi
449,Student449,firebase gitlab ci
450,Student450,statistics powershell
451,Student451,bash svelte
452,Student452,model optimization bash
453,Student453,model deployment process management
454,Student454,design time series analysis
455,Student455,gitops automation
456,Student456,storage management ci/cd
457,Student457,data warehousing flutter
458,Student458,cypress eclipse
459,Student459,solidworks go
460,Student460,gitlab data pipelines
461,Student461,image processing mobile ui
462,Student462,play store bdd
463,Student463,mobile ui api integration
464,Student464,cloud express
465,Student465,signal processing model optimization
466,Student466,html cloud storage
467,Student467,process management babel
468,Student468,eclipse process management
469,Student469,database tdd
470,Student470,security vhdl
471,Student471,oop powershell
472,Student472,jira ubuntu
473,Student473,vscode kotlin
474,Student474,system design vector databases
475,Student475,google cloud bitbucket
476,Student476,dns ux
477,Student477,miro api integration
478,Student478,matlab jest
479,Student479,performance optimization css
480,Student480,notion frontend
481,Student481,vmware predictive analytics
482,Student482,postman system design
483,Student483,cross-browser testing routing
484,Student484,data analysis r
485,Student485,siem api development
486,Student486,vector databases google cloud
487,Student487,ec2 dart
488,Student488,tcp/ip docker
489,Student489,chatbot grafana
490,Student490,play store swift
491,Student491,backend redux
492,Student492,vite react native
493,Student493,hadoop system design
494,Student494,backend intellij
495,Student495,data matlab
496,Student496,haskell cloud
497,Student497,kotlin c
498,Student498,zero trust embedded systems
499,Student499,design patterns flask
500,Student500,metasploit app store
501,Student501,cross-browser testing process management
502,Student502,apache spark tableau
503,Student503,vmware pair programming
504,Student504,excel perl
